id,op,in_lat,in_lon,expect_lat,expect_lon,note
shanghai_wgs84_to_gcj02,wgs84_to_gcj02,31.2304,121.4737,31.2284577375772692,121.4782230592769281,in-china city
shanghai_gcj02_to_wgs84,gcj02_to_wgs84,31.2304,121.4737,31.2323422624227298,121.4691769407230595,in-china city
shanghai_gcj02_to_bd09,gcj02_to_bd09,31.2304,121.4737,31.2363348197937079,121.4802374034261447,in-china city
shanghai_bd09_to_gcj02,bd09_to_gcj02,31.2304,121.4737,31.2243420003141594,121.4671951405386352,in-china city
shanghai_wgs84_to_bd09,wgs84_to_bd09,31.2304,121.4737,31.2343105936899974,121.4847814685030016,in-china city
shanghai_bd09_to_wgs84,bd09_to_wgs84,31.2304,121.4737,31.2262698374725325,121.4626519843450154,in-china city
shanghai_wgs84_to_shcs2000,wgs84_to_shcs2000,31.2304,121.4737,-559.7345834588631988,623.9562626341773921,in-china city
beijing_wgs84_to_gcj02,wgs84_to_gcj02,39.9042,116.4074,39.9056033431650690,116.4136422537880264,in-china city
beijing_gcj02_to_wgs84,gcj02_to_wgs84,39.9042,116.4074,39.9027966568349370,116.4011577462119646,in-china city
beijing_gcj02_to_bd09,gcj02_to_bd09,39.9042,116.4074,39.9105219196331333,116.4137850340704716,in-china city
beijing_bd09_to_gcj02,bd09_to_gcj02,39.9042,116.4074,39.8978505744987331,116.4010177807219009,in-china city
beijing_wgs84_to_bd09,wgs84_to_bd09,39.9042,116.4074,39.9118653356189910,116.4200463302981632,in-china city
beijing_bd09_to_wgs84,bd09_to_wgs84,39.9042,116.4074,39.8964470504265449,116.3947752365614576,in-china city
beijing_wgs84_to_shcs2000,wgs84_to_shcs2000,39.9042,116.4074,974078.5136936851777136,-432803.0309638893813826,in-china city
nyc_wgs84_to_gcj02,wgs84_to_gcj02,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_gcj02_to_wgs84,gcj02_to_wgs84,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_gcj02_to_bd09,gcj02_to_bd09,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_bd09_to_gcj02,bd09_to_gcj02,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_wgs84_to_bd09,wgs84_to_bd09,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_bd09_to_wgs84,bd09_to_wgs84,40.7128,-74.0060,40.7128000000000014,-74.0060000000000002,outside bbox; identity including BD
nyc_wgs84_to_shcs2000,wgs84_to_shcs2000,40.7128,-74.0060,63409137.9650826454162598,-21365755.7035713903605938,outside bbox; identity including BD
origin_wgs84_to_gcj02,wgs84_to_gcj02,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_gcj02_to_wgs84,gcj02_to_wgs84,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_gcj02_to_bd09,gcj02_to_bd09,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_bd09_to_gcj02,bd09_to_gcj02,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_wgs84_to_bd09,wgs84_to_bd09,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_bd09_to_wgs84,bd09_to_wgs84,0.0,0.0,0.0000000000000000,0.0000000000000000,outside bbox; identity
origin_wgs84_to_shcs2000,wgs84_to_shcs2000,0.0,0.0,-3457087.7314136601053178,-23717901.3094123229384422,outside bbox; identity
bbox_sw_inside_wgs84_to_gcj02,wgs84_to_gcj02,0.8293,72.004,0.8305627680116211,72.0077091028625631,bbox inclusive SW corner
bbox_sw_inside_gcj02_to_wgs84,gcj02_to_wgs84,0.8293,72.004,0.8280372319883790,72.0002908971374467,bbox inclusive SW corner
bbox_sw_inside_gcj02_to_bd09,gcj02_to_bd09,0.8293,72.004,0.8355111691861248,72.0104869388901818,bbox inclusive SW corner
bbox_sw_inside_bd09_to_gcj02,bd09_to_gcj02,0.8293,72.004,0.8230860307375352,71.9975177907516866,bbox inclusive SW corner
bbox_sw_inside_wgs84_to_bd09,wgs84_to_bd09,0.8293,72.004,0.8367613208800825,72.0141973264187953,bbox inclusive SW corner
bbox_sw_inside_bd09_to_wgs84,bd09_to_wgs84,0.8293,72.004,0.8230860307375352,71.9975177907516866,bbox inclusive SW corner
bbox_sw_inside_wgs84_to_shcs2000,wgs84_to_shcs2000,0.8293,72.004,-3320189.6017691045999527,-6193691.9233085932210088,bbox inclusive SW corner
bbox_sw_outside_wgs84_to_gcj02,wgs84_to_gcj02,0.8293,72.003999,0.8293000000000000,72.0039989999999932,just west of bbox
bbox_sw_outside_gcj02_to_wgs84,gcj02_to_wgs84,0.8293,72.003999,0.8293000000000000,72.0039989999999932,just west of bbox
bbox_sw_outside_gcj02_to_bd09,gcj02_to_bd09,0.8293,72.003999,0.8293000000000000,72.0039989999999932,just west of bbox
